Marca acciaio,Spessore richiesto [mm],Diametro [mm],Spessore [mm],Media di Produttività R ton/h,RIFERIMENTO INDUCTOTHERM,RIFERIMENTO ZONA 1 ASEA,RIFERIMENTO ZONA 2 ASEA,RIFERIMENTO ZONA 3 ASEA,Carbonio equivalente,Media di Somma Potenze elettriche kW,Media di TEMPERATURA USCITA FORNO INDUCTOTHERM,Somma di Produzione ton,Media di Consumo specifico kWh/ton,Media di VELOCITA INGRESSO TUBO,Media di TEMPERATURA USCITA PRIMA ZONA,Media di TEMPERATURA USCITA SECONDA ZONA,Media di TEMPERATURA USCITA TERZA ZONA,Media di TEMPERTAURA USCITA QUARTA ZONA,Media di Potenza Forno Inductotherm,Media di Potenza Zona1 Asea,Media di Potenza Zona2 Asea,Media di Potenza Zona3 Asea
J55 UPGRAD.,5,73,5.51,44.345154178632555,77,99,99,99,0.5417506024096381,11802.458249769694,1144.8350976197924,5946.698515415988,268.6304536612272,60.578358279006814,364.2743674585093,652.0498876272841,779.3968299993991,778.4577500608532,4444.569991850881,2427.570524347847,2506.3440965672644,2423.9736370037017
J55 UPGRAD.,5,73,5.51,41.12944579717384,76,90,95,85,0.5417506024096381,11317.380262468676,1160.557833585334,549.7146188696223,277.8161701646366,56.69198396000435,380.82856911075356,675.6982764998489,787.0897925526679,747.0092998646824,4266.563500708039,2409.735753806929,2357.1827421666076,2283.8982657870997
J55 UPGRAD.,5,73,5.51,32.083693065244155,73,50,75,75,0.5417506024096381,8599.406385558155,1149.8739908897578,544.7920855514208,269.3027665275891,44.032448572308304,243.25215257596912,525.1865253805067,739.1099286842895,735.5420346555173,4050.992722302211,1053.627172968774,1645.6874997996383,1849.0989904875319
28MN6,7,73,10,41.771753351206435,76,99,99,99,0.5512467217095671,11925.188433379064,1173.206917608757,540.5638609637157,289.4907752367459,43.70811558778165,401.96278914628016,690.7603206423844,791.3673879937793,768.1126855789471,4687.114486226018,2431.511165670032,2567.7082469420243,2238.8545345409893
J55 UPGRAD.,5,73,5.51,41.287304925290535,73,80,99,99,0.5417506024096381,11329.36475472987,1168.2830235336971,518.2323216684658,277.2241963405788,56.69713252233812,367.6232811061097,680.6382926085514,821.7795986190315,796.4778121873088,3895.2954381196064,2282.22603373356,2494.5246790152014,2657.318603861502
J55 UPGRAD.,5,73,5.51,43.147229810184214,76,99,99,99,0.5417506024096381,11804.40079804475,1155.6151182042825,516.0471109064421,275.78263371897054,59.32419248912117,370.52013032571244,664.5281955325064,793.1585052868578,762.591110793445,4307.340409466995,2431.6345089555734,2501.781227860844,2563.6446517613376
J55 UPGRAD.,5,73,5.51,43.54892067620286,77,85,99,99,0.5417506024096381,11859.151061583918,1144.916457717955,466.77404444694525,274.90993157868337,60.037444817030845,358.71835311671384,662.0105210529223,788.982457089666,742.6480246589646,4395.452776075743,2346.438029770076,2514.099708271002,2603.1605474670964
J55 UPGRAD.,5,73,5.51,43.14062004858984,78,98,98,98,0.5417506024096381,12023.280436018711,1155.0638719113258,452.4199125803844,282.9303053981257,59.42123050428789,364.1956994651149,660.0022912231458,786.1316713965958,730.4056272926786,4537.274026917671,2447.2868944012753,2479.2465064883977,2559.4730082113665
J55 UPGRAD.,6,88.9,6.45,42.72572544642857,77,99,99,99,0.5417506024096381,11977.398927903483,1153.4183612399631,384.80938017739294,283.2139842498753,50.72537518014747,375.21492336666773,674.916789775803,775.3306276135975,720.6022668774166,4647.599542171236,2452.763569953068,2566.3967020587315,2310.6391137204473
S195T,2.95,48.3,2.9,32.79931111864938,76,99,99,99,0.1826355458221019,9514.333790788682,1185.1944717603521,348.5803622955747,291.6685103702726,74.22417427997476,469.86037042267066,698.5335789388255,846.5670785859386,791.9344301162289,3380.901169635096,2556.756666272797,1591.8981493225806,1984.7778055582085
S195T,3.35,60.3,3.6,37.44602682545042,77,99,99,99,0.1826355458221019,10492.87814120398,1154.5133786717083,338.9473367812897,282.5320896625119,76.49231114116317,412.0087967651888,668.3926841651773,817.1782602765811,823.9268855440336,3707.7857151747457,2521.6898769503823,1952.5285393391841,2310.874009739668
S195T,3.35,48.3,3.2,35.34440456578018,76,99,99,99,0.1826355458221019,10314.964685839579,1157.1880277910634,333.74190430402746,293.2154386811571,73.99927195096527,422.21266057020523,681.1904309812112,828.0310059509493,810.251541164629,3606.53599733284,2518.567576464722,1928.417398877861,2261.4437131641557
S195T,2.95,60.3,3.2,32.8116539140671,76,99,99,99,0.1826355458221019,9566.661455958872,1175.9519004454264,294.17724435064525,292.9676472214226,75.68191335121571,464.7769538962351,694.464577286288,838.1939440332216,828.9015561939856,3384.2016220388205,2554.9640099756566,1616.2446442628852,2011.2511796815102
S195T,2.95,60.3,3.2,33.20613191180645,77,99,99,99,0.1826355458221019,9757.74486129535,1155.7218377786235,293.3374382456143,294.79544276281024,77.35689702569599,449.65363688893535,688.4689613407021,828.2940529494603,804.7260138574197,3469.1363173499453,2557.5024146957885,1661.903170777041,2069.202958472575
28MN6,7,75.5,10.2,41.90677301858085,76,99,99,99,0.5512467217095671,11863.428722329003,1140.4613096487024,252.4585065775447,287.9022478648529,44.54163559205668,396.3324482654095,685.212936303577,774.380528790651,731.8782390140883,4730.12641898507,2435.00855794556,2560.906370635118,2137.3873747632547
S195T,3.35,42.4,3.2,35.50096887728873,77,99,99,99,0.1826355458221019,10307.932094633563,1172.7097580035104,250.23879491647085,291.31067508559295,72.01341421171294,431.12006786360166,692.3037752625253,835.7919089197806,851.7302576118542,3690.2357328542166,2519.7836785774502,1907.0974854055087,2190.815197796387
J55 UPGRAD.,5,73,5.51,31.74217364554305,74,50,75,75,0.5417506024096381,8720.144145302205,1175.6719282376064,244.79180558337106,275.46900874742795,43.658208246870636,246.9117481115306,533.2078290111463,745.1754481631871,738.5915852964371,4117.739156636529,1058.6613107998603,1648.6192117925532,1895.1244660732623
J55 UPGRAD.,6,88.9,6.45,41.04441838649156,76,99,99,75,0.5417506024096381,11643.40168974055,1183.670322056067,244.15125672711272,282.73359474865174,48.060270700401034,386.85091677552987,687.9358274019681,782.6290762924566,648.3525733532646,4572.185812658486,2443.795590479065,2567.5439808915303,2059.8763057114706
S195T,3.36,42.4,3.2,35.81836843617851,76,99,99,99,0.1826355458221019,10290.373917655257,1191.6487111044903,241.7467272350523,289.8787639964925,72.49961548315146,425.34442324481165,689.1241708244846,838.5533285136685,858.1533833924354,3646.704109511078,2503.767345486258,1926.4764912935707,2213.4259713643505
S195T,3.35,42.4,3.2,34.812956277577214,76,99,99,99,0.1826355458221019,10161.405633254803,1190.1947883811,241.65467875136264,292.8771698025074,70.64935852912264,438.5693978454614,697.7815227289732,835.8136242587644,794.6746205929337,3582.3500395516626,2527.6636062505777,1874.741113374284,2176.650874078279
S195T,3.35,42.4,3.2,33.841598119858986,76,90,95,95,0.1826355458221019,9932.432243185196,1188.9478300842452,241.16293121125963,293.49448438321747,68.53600524748441,438.2859753911653,694.4431780721363,842.5763131380361,789.2862883601056,3602.7029354204537,2434.17435456936,1818.3260461181928,2077.2289070771903
S195T,3.35,48.3,3.2,34.76399744775881,77,85,99,99,0.1826355458221019,10277.34552335047,1191.2240727397696,240.75074138747343,297.4621929856712,72.6629745599318,414.6533981161381,682.8604429339009,842.3994330915657,694.0647186045633,3693.0367170520367,2355.252585276745,1966.0000278450386,2263.0561931766492
28MN6,5.5,30.4,7.91,39.83015019469683,73,95,95,95,0.5512467217095671,11442.356728985074,1178.4567544584525,238.35269060823583,290.52020348720737,51.27033764803628,388.1186551603872,682.6273699165739,819.4384398089918,775.5202804490186,4046.379293551057,2405.6776951938928,2390.4811669365054,2599.818573303619
28MN6,6,50.5,9.5,32.448044204166,76,50,99,99,0.5512467217095671,10464.2395106707,1275.9491490288103,227.62881046666044,323.8105281428746,39.044456601048104,233.36584693143203,644.4778900000908,805.7347360575478,735.2395173725689,4476.091561534443,1038.4590975215049,2508.464033066478,2441.2248185482745
J55 UPGRAD.,5,73,5.51,35.9180790960452,76,50,99,99,0.5417506024096381,10148.263739043037,1186.7552037319895,226.84917116721434,284.82619369582454,49.19601925390925,217.33513460186242,606.0764728104327,765.6854911955063,712.2180536103114,4335.214754821217,1028.1207320447695,2487.2865384850797,2297.64171369197
J55 UPGRAD.,5,73,5.51,44.26856240126382,77,80,99,99,0.5417506024096381,11748.48900732797,1135.4421529888866,225.2666299250392,269.12614882591834,60.66710136645486,350.2620667388329,654.1014219997768,784.0139594953188,760.3304101792583,4399.743365371786,2275.021773435,2520.1502335435093,2553.573634977674
28MN6,6,37.5,8.8,43.428625602687035,76,99,99,99,0.5512467217095671,12015.04690187544,1172.4790664128102,222.176232618226,280.67029874127377,50.29908516314146,389.95371692925505,684.7106286738144,795.2071053426259,735.5856540745442,4503.785678423137,2446.2885145822543,2560.7631836069763,2504.2095252630725
S195T,3.35,48.3,3.2,32.94839005290124,76,80,99,99,0.1826355458221019,9820.829654649271,1189.529688865772,220.39650469621023,299.04420997350354,69.61104550713,410.84453617943996,687.8690832305462,827.7271240681836,849.6781887585644,3525.757096354506,2200.506418507574,1914.1857649408735,2180.3803748463174
S195T,3.35,42.4,3.2,33.87913232104121,73,99,99,99,0.1826355458221019,9787.641714718502,1183.0843691347995,218.12398215479328,287.90248027307393,68.46065331266655,451.1837209685816,705.1967226821998,854.6579044737578,710.7724409613951,3302.542791748047,2527.4484089710295,1843.294590338916,2114.35592366051
S195T,3.35,60.3,3.6,34.28957774646607,76,99,99,99,0.1826355458221019,10212.323791908939,1178.8966142990703,210.45816703690414,298.74847266888236,70.28054120138468,438.32727694880947,703.5306479682608,854.4288306441948,773.7762412665991,3586.9861570734265,2523.810587813857,1905.9668131373555,2195.5602338842996
S195T,3.35,60.3,3.6,34.6801606351551,76,80,99,99,0.1826355458221019,9961.667341747876,1173.4827167505352,209.81105280160895,288.10294520158186,71.28354113528084,405.48161229425205,686.1209739927351,834.0913803911984,803.3955082041122,3550.178206890337,2216.0449788841574,1958.284535330543,2237.159620642838
J55 UPGRAD.,5,73,5.51,42.25269855698216,76,95,99,99,0.5417506024096381,11856.306372221634,1175.6693443330414,207.29245743513115,283.39446069433967,58.26053663487191,378.3605715779063,677.8516803746223,813.8148136353468,759.2270520833009,4241.960724889467,2431.9010144507615,2499.6565052505352,2682.7881276308713
28MN6,5.5,31.8,5.8,40.516984213391396,71,99,99,99,0.5512467217095671,11448.632184940976,1190.0956709494717,206.2080879529316,286.737034250794,50.84066255452131,388.2228209817935,695.62849176248,835.7389813036392,785.699551539351,3806.333569096714,2412.739949516583,2530.979648878734,2698.5790174489443
S195T,3.35,33.7,3.2,37.069437455972626,77,99,99,99,0.1826355458221019,10528.295033908938,1172.3643963377972,204.8556754732132,285.74597679872977,75.17684625362838,414.073983624606,674.6557072035513,827.1300130673094,839.7674712198078,3769.029446867806,2506.6127884542243,1968.5232282532788,2284.129570333629
S195T,2.95,60.3,3.2,31.932071615798126,75,99,99,99,0.1826355458221019,9405.614428751069,1173.7069726688317,200.6305879388915,294.06450603714626,74.16514375695034,462.1084188272933,691.7562474386331,826.786915596717,859.4650439628836,3269.491769736333,2552.2501265444344,1599.0777519612814,1984.7947805090203
J55 UPGRAD.,5,73,5.51,42.77072763087208,75,90,95,97,0.5417506024096381,11534.44765550514,1146.0046679416444,199.34960124598615,272.52136819053385,58.830316602952486,375.90333388720256,665.8506323159122,796.5466569085224,749.5598624527778,4143.929698054459,2406.4125224343275,2366.3874470331575,2617.717987983197
J55 UPGRAD.,6,88.9,6.45,39.81181854132535,76,70,98,98,0.5417506024096381,11027.842245939068,1127.2863614400371,196.44820599105608,278.1189482887985,47.028414337697406,310.8948303846766,637.9575723288497,761.2590167073232,715.2200860461571,4590.676685484754,1834.5644432961365,2509.806570883343,2092.7945462748344
J55 UPGRAD.,5,73,5.51,41.96396287814873,76,80,99,99,0.5417506024096381,11695.203848230189,1179.7332854595647,194.04791605605018,280.7500958956497,57.91145147868664,367.6810005816032,674.0745821066961,819.6001207255823,793.3456374553797,4232.65286355664,2278.76990592803,2496.744749505304,2687.036329240214
J55 UPGRAD.,6,88.9,6.45,42.02630606209956,76,99,99,99,0.5417506024096381,11963.66910647735,1183.6675133025958,190.48501126183407,284.80088962569647,49.52958438788922,382.90835796711536,681.4540958263534,792.2800229647407,683.6813244206263,4549.320744773448,2447.6718255612227,2575.0007043709716,2391.6758317717076
J55 UPGRAD.,5,73,5.51,35.69250439507751,77,50,99,99,0.5417506024096381,10262.173432827174,1195.092259446113,187.4854782533645,288.5520363210374,49.29470058735023,219.44357078129136,605.7002814887691,766.1718853627427,711.3201440089005,4435.071474583882,1035.389312435242,2487.6652094380856,2304.0474363699636
J55 UPGRAD.,5,60.3,4.83,41.856988013261926,77,80,99,99,0.5417506024096381,11744.167851193892,1184.7531429447406,182.53407812913267,282.78474378194267,56.227948194801485,350.16875791659135,667.25960070477,818.6198971239288,760.5637913115078,4352.753745170735,2201.285013647841,2502.8053958876285,2687.3236964876874
J55 UPGRAD.,6,88.9,6.45,42.7043571237637,77,85,99,99,0.5417506024096381,11754.284369698376,1169.6331067078893,178.022912680043,276.46179009469313,50.37048721785088,363.2403434053904,650.1872648001035,778.8638071663333,764.0864729238875,4639.389471291157,2313.9164515670946,2555.106579341853,2245.871867498272
J55 UPGRAD.,5,73,5.51,43.52901603696657,78,99,99,99,0.5417506024096381,12038.65765180948,1151.6009550351234,177.50932128164501,281.09475569926514,59.972593584926464,367.81662582891016,662.3507996725303,787.0513751399877,731.2456796010508,4503.847848737198,2442.9105832306514,2510.108574006894,2581.790645834738
S195T,2.95,42.4,2.9,29.782721770380178,74,90,90,90,0.1826355458221019,8751.076756505676,1165.2380659443593,174.98339094294437,295.2881848580472,68.06024126657493,487.40339167627195,706.4407092520662,836.2597401869507,783.2961739124682,3172.9640874832007,2458.5598498799523,1397.723839578183,1721.82897956434
S195T,3.35,33.7,3.2,35.013324450366426,76,99,99,99,0.1826355458221019,10157.962273553878,1165.4942987261152,173.82638152917224,294.7040319703614,72.36148544949424,439.9384779221689,697.2907025809291,831.5089977314386,837.7784525824472,3549.443802682977,2579.679845763767,1874.1425444492625,2154.696080657871
28MN6,5.5,31,6.5,38.15238507702778,73,99,99,99,0.5512467217095671,11534.69316794295,1231.0418623645935,171.6266101392108,304.102543811797,49.85615182331512,406.39789677262195,709.1246516317349,853.4158041902766,860.9483953437128,4062.096741715804,2403.7396496489137,2513.7088297309538,2555.1479468472794
